email,name,role
admin1@mail.com,Zero Cool,admin
admin2@mail.com,Acid Burn,admin
user1@mail.com,UzzzerOne,user
user2@mail.com,UsEr_O02,user
rootkit@mail.com,rootkit,user
pwnie@mail.com,pwnie,user
bug.hunter@mail.com,Bug Hunter,user
fuzzlord@mail.com,Fuzz Lord,user
xss.wizard@mail.com,XSS Wizard,user
sql.ninja@mail.com,SQL Ninja,user
csrf.mancer@mail.com,CSRF Mancer,user
rce.dreams@mail.com,RCE Dreams,user
ssrfisher@mail.com,SSRFisher,user
log4shell@mail.com,Log4Shell Enjoyer,user
cookie.monster@mail.com,Cookie Monster,user
packet.stormer@mail.com,Packet Stormer,user
ghost.wires@mail.com,Ghost In The Wires,user
bit.flip@mail.com,Bit Flip,user
null.byte@mail.com,Null Byte,user
